NOM LIEN;NOM;Sexe;Profession;Anniversaire;Âge;Nationalité;Zodiaque;Lieu de naissance;Centimètre;Kilogramme;Couleur des yeux;Couleur des cheveux;Décès;Particularité 1;Particularité 2;Particularité 3
jim-carrey;Jim Carrey;M;Acteur, scénariste, comédien;17/01/1962;62;Canadienne/Américaine;Capricorne;Canada;188;85;Brun foncé;Brun foncé;–;joue Stanley Ipkiss - The Mask;joue Lloyd Christmas - Dumb and Dumber;joue Truman Burbank - The Truman Show
ashley-graham;Ashley Graham;F;Mannequin;30/10/1987;36;Américaine;Scorpion;États-Unis;176;86;Brun foncé;Brun foncé;–;est l'égérie de Swimsuitsforall en 2015 et des marques H&M et Addition Elle en 2016; sort son premier livre autobiographique, A New Model : What Confidence, Beauty, and Power Really Look Like, le 7 mai 2017;devient l'égérie de la marque de cosmétiques Revlon en 2018
shawn-mendes;Shawn Mendes;M;Chanteur/euse;08/08/1998;25;Canadien;Lion;Canada;187;86;Brun foncé;Brun foncé;–;se fait connaître en 2013 sur l'application Vine, où il publie de courtes vidéos musicales;son premier album studio sort en 2015 et est intitulé : Handwritten;officialise sa relation avec Camila Cabello en juin 2019
chris-evans-actor;Chris Evans;M;Acteur;13/06/1981;42;Américaine;Gémeaux;États-Unis;182;89;Bleu;Châtain;–;joue Johnny Storm - Les Quatre Fantastiques;joue Steve Rogers - Captain America : First Avenger;joue Lloyd Hansen - The Gray Man
chris-hemsworth;Chris Hemsworth;M;Acteur;11/08/1983;40;Australienne;Lion;Australie;190;90;Bleu;Blonds;–;marié à l'actrice Elsa Pataky;joue Thor - Thor;joue l'agent H - Men in Black: International
michael-jordan;Michael Jordan;M;Joueur de Basketball;17/02/1963;61;Américaine;Verseau;États-Unis;198;96;Brun foncé;Aucun cheveux;–;a contribué à populariser internationalement le basket-ball et la NBA à travers le monde dans les années 1980 et 1990;remporte son premier titre de champion NBA avec les Bulls en 1991;également célèbre pour les produits auxquels il prête son image, comme le parfum ou les chaussures
donald-trump;Donald Trump;M;Personnalité TV, businessman, Politicien/enne;14/06/1946;77;Américaine;Gémeaux;États-Unis;188;97;Brun;Gris;–;45e président des États-Unis, à partir du 20 janvier 2017;Fils de promoteur immobilier, il se constitue dès lors un empire grâce à des bâtiments prestigieux;"""Make America great again"""
ben-affleck;Ben Affleck;M;Acteur, Producteur, scénariste, réalisateur;15/08/1972;51;Américaine;Lion;États-Unis;191;97;Noisette;Brun foncé;–;marié à Jennifer Lopez;joue capitaine Rafe McCawley - Pearl Harbor;joue Bruce Wayne - Batman v Superman : L'Aube de la justice
sylvester-stallone;Sylvester Stallone;M;Acteur, Producteur, scénariste, réalisateur;06/07/1946;77;Américaine;Cancer;États-Unis;178;101;Brun foncé;Brun foncé;–;se révèle au grand public en 1976 dans le célèbre film Rocky;connu pour son rôle principal dans Rambo;joue Barney Ross - Expendables : Unité spéciale
vin-diesel;Vin Diesel;M;Acteur;18/07/1967;56;Américaine;Cancer;États-Unis;183;102;Brun foncé;Aucun cheveux;–;révélé par un second rôle dans Il faut sauver le soldat Ryan;a appelé sa dernière fille Pauline en hommage à son ami Paul Walker;joue Dominic « Dom » Toretto - Fast and Furious 5
arnold-schwarzenegger;Arnold Schwarzenegger;M;Acteur, businessman, Politicien/enne, bodybuilder;30/07/1947;76;Autrichienne/Américaine;Lion;Autriche;188;105;Bleu;Châtain;–;a été surnommé le « Chêne autrichien »pendant ses années de culturisme, puis « Governator » pendant son mandat de gouverneur de Californie;joue le Terminator T-800 - Terminator;joue Trench Mauser - Expendables : Unité spéciale
dwayne-johnson;Dwayne Johnson;M;Acteur, Catcheur;02/05/1972;51;Américaine/Canadienne;Taureau;États-Unis;195;118;Brun foncé;Brun foncé;–;catcheur connu au sein de la World Wrestling Federation / Entertainment jusqu'en 2004;joue Black Adam - Black Adam;joue Mitch Buchannon - Baywatch : Alerte à Malibu
mia-khalifa;Mia Khalifa;F;Actrice, p*rnstar;10/02/1993;31;Américaine/Libanaise;Verseau;Liban;157;56;Noir;Brun foncé;-;surtout devenue célèbre pour avoir eu une courte carrière en tant qu'actrice de films pornographiques entre octobre 2014 et février 2015; co-anime avec Gilbert Arenas l'émission Out of Bounds, une émission sur le sport sur la chaîne YouTube Complex News's;adresse régulièrement des critiques à l'industrie pornographique, et à la société Bang Bros en particulier, dans lesquelles elle affirme avoir été manipulé
